# SP1500 fetch failures — generated 2026-05-08T14:56:33
# Format: TICKER  REASON

## Hard failures (no price data — likely delisted / wrong symbol)
(none)

## Limited-history IPOs (valid data, but price starts after the min cutoff — usable for validation + late training, not for early-training features)
CNR         missing: earnings
CNS         missing: earnings
CNX         missing: earnings
CNXC        missing: earnings
CNXN        missing: earnings
COCO        missing: earnings
COF         missing: earnings
COHU        missing: earnings
COIN        missing: earnings
COKE        missing: earnings
COLB        missing: earnings
COLL        missing: earnings
COLM        missing: earnings
CON         missing: earnings
COO         missing: earnings
COP         missing: earnings
COR         missing: earnings
CORT        missing: earnings
COST        missing: earnings
COTY        missing: earnings
CPAY        missing: earnings
CPB         missing: earnings
CPF         missing: earnings
CPK         missing: earnings
CPRI        missing: earnings
CPRT        missing: earnings
CPRX        missing: earnings
CPT         missing: earnings
CR          missing: earnings
CRBG        missing: earnings
CRC         missing: earnings
CRGY        missing: earnings
CRI         missing: earnings
CRK         missing: earnings
CRL         missing: earnings
CRM         missing: earnings
CROX        missing: earnings
CRS         missing: earnings
CRSR        missing: earnings
CRUS        missing: earnings
CRVL        missing: earnings
CRWD        missing: earnings
CSCO        missing: earnings
CSGP        missing: earnings
CSGS        missing: earnings
CSL         missing: earnings
CSR         missing: earnings
CSW         missing: earnings
CSX         missing: earnings
CTKB        missing: earnings
CTRA        missing: earnings
CTRE        missing: earnings
CTS         missing: earnings
CTVA        missing: earnings
CUBE        missing: earnings
CUBI        missing: earnings
CURB        missing: earnings
CUZ         missing: earnings
CVBF        missing: earnings
CVCO        missing: earnings
CVI         missing: earnings
CVLT        missing: earnings
CVS         missing: earnings
CVSA        missing: earnings
CVX         missing: earnings
CW          missing: earnings
CWEN        missing: earnings
CWEN-A      missing: earnings
CWK         missing: earnings
CWST        missing: earnings
CWT         missing: earnings
CXM         missing: earnings
CXT         missing: earnings
CXW         missing: earnings
CYTK        missing: earnings
CZR         missing: earnings
D           missing: earnings
DAL         missing: earnings
DAN         missing: earnings
DAR         missing: earnings
DASH        missing: earnings
DBD         missing: earnings
DCH         missing: earnings
DCI         missing: earnings
DCOM        missing: earnings
DD          missing: earnings
DDOG        missing: earnings
DE          missing: earnings
DEA         missing: earnings
DECK        missing: earnings
DEI         missing: earnings
DFH         missing: earnings
DFIN        missing: earnings
DG          missing: earnings
DGII        missing: earnings
DGX         missing: earnings
DHI         missing: earnings
DHR         missing: earnings
DINO        missing: earnings
DIOD        missing: earnings
DIS         missing: earnings
DKS         missing: earnings
DLB         missing: earnings
DLTR        missing: earnings
DLX         missing: earnings
DNOW        missing: earnings
DOCN        missing: earnings
DOCS        missing: earnings
DOCU        missing: earnings
DORM        missing: earnings
DOV         missing: earnings
DOW         missing: earnings
DPZ         missing: earnings
DRH         missing: earnings
DRI         missing: earnings
DT          missing: earnings
DTE         missing: earnings
DTM         missing: earnings
DUK         missing: earnings
DUOL        missing: earnings
DV          missing: earnings
DVA         missing: earnings
DVN         missing: earnings
DXC         missing: earnings
DXCM        missing: earnings
DXPE        missing: earnings
DY          missing: earnings
EA          missing: earnings
EAT         missing: earnings
EBAY        missing: earnings
ECG         missing: earnings
ECL         missing: earnings
ECPG        missing: earnings
ED          missing: earnings
EEFT        missing: earnings
EFC         missing: earnings
EFX         missing: earnings
EGBN        missing: earnings
EGP         missing: earnings
EHC         missing: earnings
EIG         missing: earnings
EIX         missing: earnings
EL          missing: earnings
ELAN        missing: earnings
ELF         missing: earnings
ELS         missing: earnings
EMBC        missing: earnings
EMN         missing: earnings
EMR         missing: earnings
ENOV        missing: earnings
ENPH        missing: earnings
ENR         missing: earnings
ENS         missing: earnings
ENSG        missing: earnings
ENTG        missing: earnings
ENVA        missing: earnings
EOG         missing: earnings
EPAC        missing: earnings
EPAM        missing: earnings
EPC         missing: earnings
EPR         missing: earnings
EPRT        missing: earnings
EQH         missing: earnings
EQIX        missing: earnings
EQR         missing: earnings
EQT         missing: earnings
ES          missing: earnings
ESAB        missing: earnings
ESE         missing: earnings
ESI         missing: earnings
ESNT        missing: earnings
ESS         missing: earnings
ETD         missing: earnings
ETN         missing: earnings
ETR         missing: earnings
ETSY        missing: earnings
EVR         missing: earnings
EVRG        missing: earnings
EVTC        missing: earnings
EW          missing: earnings
EWBC        missing: earnings
EXC         missing: earnings
EXEL        missing: earnings
EXLS        missing: earnings
EXP         missing: earnings
EXPD        missing: earnings
EXPE        missing: earnings
EXPI        missing: earnings
EXPO        missing: earnings
EXR         missing: earnings
EXTR        missing: earnings
EYE         missing: earnings
EZPW        missing: earnings
F           missing: earnings
FAF         missing: earnings
FANG        missing: earnings
FAST        missing: earnings
FBIN        missing: earnings
FBK         missing: earnings
FBNC        missing: earnings
FBP         missing: earnings
FBRT        missing: earnings
FCF         missing: earnings
FCFS        missing: earnings
FCN         missing: earnings
FCPT        missing: earnings
FCX         missing: earnings
FDP         missing: earnings
FDS         missing: earnings
FE          missing: earnings
FELE        missing: earnings
FFBC        missing: earnings
FFIN        missing: earnings
FFIV        missing: earnings
FHB         missing: earnings
FHI         missing: earnings
FHN         missing: earnings
FIBK        missing: earnings
FICO        missing: earnings
FIS         missing: earnings
FISV        missing: earnings
FITB        missing: earnings
FIVE        missing: earnings
FIZZ        missing: earnings
FLEX        missing: earnings
FLG         missing: earnings
FLO         missing: earnings
FLR         missing: earnings
FLS         missing: earnings
FMC         missing: earnings
FN          missing: earnings
FNB         missing: earnings
FND         missing: earnings
FNF         missing: earnings
FORM        missing: earnings
FOUR        missing: earnings
FOX         missing: earnings
FOXA        missing: earnings
FOXF        missing: earnings
FR          missing: earnings
FRPT        missing: earnings
FRT         missing: earnings
FSLR        missing: earnings
FSS         missing: earnings
FTDR        missing: earnings
FTI         missing: earnings
FTNT        missing: earnings
FTRE        missing: earnings
FTV         missing: earnings
FUL         missing: earnings
FULT        missing: earnings
FUN         missing: earnings
FWRD        missing: earnings
G           missing: earnings
GAP         missing: earnings
GATX        missing: earnings
GBCI        missing: earnings
GBX         missing: earnings
GD          missing: earnings
GDDY        missing: earnings
GDYN        missing: earnings
GE          missing: earnings
GEF         missing: earnings
GEHC        missing: earnings
